"SITE_ID","csspss_year","last_csspss_year","all_inventory_year","default_PFTs","new_PFTs","YEARA","YEARZ","LOCATION_LAT","LOCATION_LONG","LOCATION_ELEV","IGBP","UTC_OFFSET","MAT","MAP","SITE_SNOW_COVER_DAYS","CLIMATE_KOEPPEN","SURFACE_HOMOGENEITY","WIND_DIRECTION","ASPECT","TERRAIN","file_path","TYPE","IYEARA","IYEARZ","INCLUDE_THESE_PFT","csspss_file","parameter_file","METCYC1","METCYCF","simulation_id"
"BE-Bra",2020,2023,"2020_2023","6_7_8_9_10","1_2_3_4_5_6_7_8_9",1999,2025,51.30761,4.51984,16,"ENF",1,10.5,920.7,NA,"Cfb",240,"SW","ESE","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/BE-Bra_1999_2025.csv","S0",1980,2019,"1_2_3_4_5_6_7_8_9",NA,"default",1999,2001,"1"
"BE-Vie",2019,2025,"2019_2022_2025","6_8_10","1_2_3_4_5_6_7",1996,2025,50.304962,5.998099,490,"MF",1,8.2,915.6,NA,"Cfb",450,"SW","NW","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/BE-Vie_1996_2025.csv","S0",1980,2018,"1_2_3_4_5_6_7",NA,"default",1996,1998,"2"
"CH-Dav",2018,2020,"2018_2020_2019","7_8","1_2_3",1997,2024,46.81533,9.85591,1637,"ENF",1,4.3,876,270,"Dfc",320,"NNE","NE","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/CH-Dav_1997_2024.csv","S0",1980,2017,"1_2_3",NA,"default",1997,1999,"3"
"CZ-BK1",2019,2023,"2019_2020_2023","7_8_9_10","1_2_3_4_5",2004,2025,49.50207615,18.53688247,881,"ENF",1,6.29,1338.12,NA,"Dfb",250,"SSW","S","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/CZ-BK1_2004_2025.csv","S0",1980,2018,"1_2_3_4_5",NA,"default",2004,2006,"4"
"DE-HoH",2017,2024,"2017_2018_2021_2024","6_8_9_10","1_2_3_4_5_6_7",2015,2025,52.08656,11.22235,217,"DBF",1,9.1,563,NA,"Cfb",360,"WNW","ENE","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/DE-HoH_2015_2025.csv","S0",1980,2016,"1_2_3_4_5_6_7",NA,"default",2015,2017,"5"
"DE-Tha",2018,2025,"2018_2019_2021_2023_2024_2025","6_7_8_9_10","1_2_3_4_5_6_7_8_9",1996,2025,50.96256,13.56515,380,"ENF",1,8.1,829,68,"Cfb",385,"W","W","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/DE-Tha_1996_2025.csv","S0",1980,2017,"1_2_3_4_5_6_7_8_9",NA,"default",1996,1998,"6"
"DK-Sor",2021,2023,"2021_2023","10","1_2",1996,2025,55.4858694,11.6446444,55,"DBF",1,9,640,23,"Cfb",400,"W","WSW","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/DK-Sor_1996_2025.csv","S0",1980,2020,"1_2",NA,"default",1996,1998,"7"
"FI-Hyy",2017,2023,"2017_2018_2020_2023","6_7_8_9_10","1_2_3_4_5",1997,2025,61.84741,24.29477,181,"ENF",2,3.5,711,NA,"Dfc",150,"SSW","NE","Flat","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FI-Hyy_1997_2025.csv","S0",1980,2016,"1_2_3_4_5",NA,"default",1997,1999,"8"
"FR-FBn",2020,2020,"2020","7_11","1_2_3",2008,2025,43.24079,5.67865,436,"ENF",1,13.9,700,NA,"Cfa",350,"NW","SW","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FR-FBn_2008_2025.csv","S0",1980,2019,"1_2_3",NA,"default",2008,2010,"9"
"FR-Fon",2020,2024,"2020_2024","6_9_10","1_2_3_4_5_6",2019,2025,48.476358,2.780096,103,"DBF",1,11.44,678.99,NA,"Cfb",310,"S","NW","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FR-Fon_2019_2025.csv","S0",1980,2019,"1_2_3_4_5_6",NA,"default",2019,2021,"10"
